Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.163386	0.490159	94.418000	85.190000	
0.100000	0.162280	0.525262	94.456000	84.260000	
0.100000	0.161374	0.374309	94.468000	88.190000	
0.100000	0.164586	0.431017	94.414000	86.230000	
0.100000	0.161327	0.434127	94.562000	86.670000	
0.100000	0.158941	0.411976	94.514000	87.350000	
0.100000	0.162140	0.357122	94.522000	89.020000	
0.100000	0.154259	0.478739	94.822000	85.010000	
0.100000	0.160458	0.415545	94.532000	87.250000	
0.100000	0.155709	0.495879	94.662000	84.180000	
0.100000	0.162172	0.373645	94.540000	88.460000	
0.100000	0.161900	0.342943	94.458000	89.110000	
0.100000	0.150387	0.683896	95.026000	81.250000	
0.100000	0.168357	0.392077	94.262000	87.210000	
0.100000	0.159119	0.540436	94.526000	84.870000	
0.100000	0.158720	0.379024	94.656000	87.800000	
0.100000	0.154516	0.434385	94.706000	86.290000	
0.100000	0.161919	0.485987	94.356000	85.580000	
0.100000	0.156867	0.380387	94.672000	87.610000	
0.100000	0.153883	0.514086	94.720000	84.870000	
0.100000	0.151514	0.497127	94.804000	85.380000	
0.100000	0.153561	0.423614	94.694000	86.960000	
0.100000	0.156236	0.527902	94.724000	84.630000	
0.100000	0.162200	0.473019	94.488000	85.880000	
0.100000	0.158040	0.459499	94.680000	85.750000	
0.100000	0.155870	0.395414	94.738000	87.260000	
0.100000	0.158311	0.389822	94.674000	87.900000	
0.100000	0.156647	0.481570	94.678000	84.790000	
0.100000	0.155924	0.481969	94.682000	85.050000	
0.100000	0.157053	0.640644	94.630000	82.400000	
0.100000	0.148839	0.540196	94.960000	84.440000	
0.100000	0.162298	0.559963	94.510000	84.790000	
0.100000	0.156193	0.384370	94.716000	87.930000	
0.100000	0.154111	0.513764	94.730000	85.320000	
0.100000	0.155818	0.357891	94.608000	88.590000	
0.100000	0.150839	0.382542	94.716000	88.160000	
0.100000	0.151555	0.529531	94.862000	85.310000	
0.100000	0.159018	0.352661	94.470000	88.780000	
0.100000	0.152730	0.481468	94.878000	85.100000	
0.100000	0.159671	0.586476	94.526000	83.090000	
0.100000	0.162828	0.521159	94.472000	83.800000	
0.100000	0.152630	0.327661	94.778000	89.800000	
0.100000	0.157208	0.384258	94.624000	87.760000	
0.100000	0.144353	0.515115	95.042000	84.930000	
0.010000	0.068219	0.156783	97.950000	94.940000	
0.010000	0.036291	0.152336	99.092000	95.130000	
0.010000	0.026089	0.148723	99.468000	95.210000	
0.010000	0.021954	0.147245	99.582000	95.120000	
0.010000	0.017826	0.146368	99.740000	95.330000	
0.010000	0.015947	0.144276	99.756000	95.470000	
0.010000	0.014523	0.143470	99.812000	95.360000	
0.010000	0.012472	0.143154	99.886000	95.370000	
0.010000	0.011710	0.143854	99.888000	95.430000	
0.010000	0.011034	0.141515	99.896000	95.530000	
0.010000	0.010732	0.143364	99.888000	95.400000	
0.010000	0.009625	0.143028	99.928000	95.340000	
0.010000	0.008983	0.143764	99.936000	95.470000	
0.010000	0.009148	0.140937	99.924000	95.580000	
0.010000	0.008109	0.142847	99.950000	95.530000	
0.010000	0.008022	0.144190	99.940000	95.470000	
0.010000	0.008060	0.138108	99.946000	95.690000	
0.010000	0.007178	0.137402	99.968000	95.740000	
0.010000	0.006877	0.138497	99.976000	95.600000	
0.010000	0.006757	0.139338	99.972000	95.660000	
0.010000	0.006665	0.141140	99.972000	95.590000	
0.010000	0.006556	0.139080	99.972000	95.550000	
0.010000	0.006618	0.139644	99.968000	95.600000	
0.010000	0.006420	0.137582	99.978000	95.590000	
0.010000	0.006274	0.138886	99.970000	95.570000	
0.010000	0.006116	0.136192	99.976000	95.630000	
0.010000	0.005835	0.134558	99.974000	95.840000	
0.010000	0.005907	0.135673	99.982000	95.650000	
0.010000	0.005829	0.138630	99.988000	95.680000	
0.010000	0.005575	0.135880	99.984000	95.730000	
0.010000	0.005406	0.137090	99.986000	95.730000	
0.010000	0.005404	0.134790	99.984000	95.690000	
0.010000	0.005254	0.136591	99.988000	95.700000	
0.010000	0.005465	0.136510	99.990000	95.700000	
0.010000	0.005564	0.138351	99.978000	95.680000	
0.010000	0.005207	0.135974	99.990000	95.880000	
0.010000	0.005028	0.134242	99.992000	95.880000	
0.010000	0.005082	0.136148	99.994000	95.800000	
0.010000	0.004775	0.133919	99.994000	95.840000	
0.010000	0.004794	0.133077	99.984000	95.850000	
0.010000	0.004685	0.134066	99.996000	95.840000	
0.010000	0.004819	0.136213	99.994000	95.740000	
0.010000	0.004694	0.135434	99.996000	95.840000	
0.010000	0.004757	0.131915	99.996000	95.910000	
0.010000	0.004727	0.134154	99.998000	95.800000	
0.010000	0.004637	0.138193	99.990000	95.810000	
0.010000	0.005552	0.133269	99.980000	95.660000	
0.010000	0.004904	0.134001	99.992000	95.780000	
0.010000	0.004940	0.132078	99.988000	95.880000	
0.010000	0.004503	0.135053	99.996000	95.860000	
0.010000	0.004547	0.136225	99.996000	95.760000	
0.010000	0.004496	0.134890	99.992000	95.930000	
0.010000	0.004353	0.132616	99.996000	95.920000	
0.010000	0.004219	0.133964	99.996000	95.900000	
0.010000	0.004443	0.131694	99.994000	95.830000	
0.010000	0.004233	0.137771	99.996000	95.690000	
0.010000	0.004182	0.134211	99.996000	96.020000	
0.010000	0.004206	0.133848	99.996000	95.880000	
0.010000	0.004100	0.133782	99.998000	95.740000	
0.010000	0.004612	0.141649	99.990000	95.720000	
0.010000	0.004296	0.131139	99.998000	95.910000	
0.010000	0.004102	0.139497	99.996000	95.760000	
0.010000	0.004275	0.134423	99.996000	95.880000	
0.010000	0.004723	0.136153	99.980000	95.910000	
0.010000	0.004488	0.133128	99.992000	96.010000	
0.010000	0.004400	0.137955	99.990000	95.940000	
0.010000	0.004261	0.143100	99.994000	95.770000	
0.010000	0.004011	0.135205	99.998000	95.930000	
0.010000	0.004205	0.136388	99.998000	95.890000	
0.010000	0.004673	0.144925	99.986000	95.750000	
0.010000	0.005257	0.145038	99.990000	95.820000	
0.010000	0.004410	0.140785	99.994000	95.750000	
0.010000	0.004290	0.137636	99.984000	96.020000	
0.010000	0.008335	0.152253	99.908000	95.250000	
0.010000	0.006209	0.168973	99.956000	94.960000	
0.001000	0.005960	0.137528	99.976000	95.740000	
0.001000	0.004587	0.136496	99.990000	95.980000	
0.001000	0.004257	0.132412	99.992000	96.040000	
0.001000	0.003857	0.132982	99.994000	95.990000	
0.001000	0.003770	0.131871	99.996000	96.030000	
0.001000	0.003767	0.132976	99.998000	96.090000	
0.001000	0.003687	0.132140	99.996000	96.080000	
0.001000	0.003547	0.130930	100.000000	96.070000	
0.001000	0.003344	0.132093	100.000000	96.060000	
0.001000	0.003433	0.131477	99.996000	96.090000	
0.001000	0.003255	0.130857	100.000000	96.170000	
0.001000	0.003383	0.130231	99.998000	96.220000	
0.001000	0.003280	0.131610	100.000000	96.100000	
0.001000	0.003297	0.129816	100.000000	96.190000	
0.001000	0.003284	0.130746	100.000000	96.100000	
0.001000	0.003202	0.131349	100.000000	96.120000	
0.001000	0.003271	0.133194	99.996000	96.080000	
0.001000	0.003263	0.130312	100.000000	96.140000	
0.001000	0.003262	0.130466	100.000000	96.260000	
0.001000	0.003111	0.134594	99.996000	96.020000	
0.001000	0.003218	0.132703	99.994000	96.160000	
0.001000	0.003096	0.130823	100.000000	96.160000	
0.001000	0.003050	0.131511	99.998000	96.140000	
0.001000	0.002983	0.130593	99.998000	96.180000	
0.001000	0.002985	0.128833	99.996000	96.240000	
0.001000	0.003134	0.129851	100.000000	96.170000	
0.001000	0.002919	0.129642	99.998000	96.200000	
0.001000	0.003037	0.131497	99.998000	96.200000	
0.001000	0.003001	0.129251	99.998000	96.250000	
0.001000	0.003014	0.132201	99.994000	96.150000	
0.001000	0.003019	0.129873	100.000000	96.330000	
0.001000	0.002961	0.130887	100.000000	96.210000	
0.001000	0.002986	0.130041	100.000000	96.210000	
0.001000	0.003012	0.130628	100.000000	96.280000	
0.001000	0.002953	0.131097	100.000000	96.200000	
0.001000	0.002923	0.131262	99.998000	96.260000	
0.001000	0.002988	0.130584	99.998000	96.100000	
0.001000	0.002959	0.129265	100.000000	96.200000	
0.001000	0.002973	0.130845	100.000000	96.130000	
0.001000	0.002846	0.132155	100.000000	96.150000	
0.001000	0.002879	0.131981	100.000000	96.130000	
0.001000	0.002877	0.130280	99.998000	96.170000	
0.001000	0.002873	0.130104	100.000000	96.160000	
0.001000	0.002935	0.130489	100.000000	96.260000	
0.001000	0.002877	0.130731	99.998000	96.250000	
0.001000	0.002943	0.128940	100.000000	96.330000	
0.001000	0.002843	0.129872	100.000000	96.240000	
0.001000	0.002796	0.132156	100.000000	96.270000	
0.001000	0.002940	0.129640	99.996000	96.190000	
0.001000	0.002912	0.130341	100.000000	96.160000	
0.001000	0.002859	0.132057	100.000000	96.190000	
0.001000	0.002923	0.131695	99.998000	96.230000	
0.001000	0.002931	0.130104	99.998000	96.260000	
0.001000	0.002853	0.130450	100.000000	96.190000	
0.001000	0.002772	0.131952	99.998000	96.230000	
0.001000	0.002853	0.132560	100.000000	96.190000	
0.001000	0.002863	0.130286	100.000000	96.180000	
0.001000	0.002865	0.128533	100.000000	96.240000	
0.001000	0.002870	0.128812	99.998000	96.250000	
0.001000	0.002810	0.129258	100.000000	96.270000	
0.001000	0.002791	0.130624	100.000000	96.220000	
0.001000	0.002917	0.130603	99.998000	96.210000	
0.001000	0.002847	0.132947	99.998000	96.050000	
0.001000	0.002885	0.131270	100.000000	96.100000	
0.001000	0.002754	0.130293	100.000000	96.160000	
0.001000	0.002946	0.130029	99.998000	96.190000	
0.001000	0.002920	0.131358	99.992000	96.270000	
0.001000	0.002789	0.130363	100.000000	96.200000	
0.001000	0.002851	0.131611	100.000000	96.190000	
0.001000	0.002904	0.130176	100.000000	96.220000	
0.001000	0.002799	0.131571	99.998000	96.250000	
0.001000	0.002790	0.131350	100.000000	96.260000	
0.001000	0.002833	0.130372	100.000000	96.190000	
0.001000	0.002751	0.129095	100.000000	96.180000	
0.001000	0.002783	0.129853	100.000000	96.260000	
